schemaname,tablename,columnname,datatype,rowcounts,totalspaceb
dbo,MaterializedItems,AdditiveItemID,int,324247971,240815243264
dbo,MaterializedItems,CoolTime,int,324247971,240815243264
dbo,MaterializedItems,DragonJewelType,tinyint,324247971,240815243264
dbo,MaterializedItems,EternityFlag,bit,324247971,240815243264
dbo,MaterializedItems,ExpireCompleteFlag,bit,324247971,240815243264
dbo,MaterializedItems,ItemCount,smallint,324247971,240815243264
dbo,MaterializedItems,ItemDurability,smallint,324247971,240815243264
dbo,MaterializedItems,ItemExpireDate,smalldatetime,324247971,240815243264
dbo,MaterializedItems,ItemID,int,324247971,240815243264
dbo,MaterializedItems,ItemLevel,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemLifespan,int,324247971,240815243264
dbo,MaterializedItems,ItemLocationCode,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemLocationIndex,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemMaterializeCode,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemMaterializeDate,datetime2,324247971,240815243264
dbo,MaterializedItems,ItemMaterializeFKey,bigint,324247971,240815243264
dbo,MaterializedItems,ItemOption,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemPotential,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemPotentialMoveCount,tinyint,324247971,240815243264
dbo,MaterializedItems,ItemPrice,bigint,324247971,240815243264
dbo,MaterializedItems,ItemRemainCount,smallint,324247971,240815243264
dbo,MaterializedItems,ItemSerial,bigint,324247971,240815243264
dbo,MaterializedItems,MaterializedItemID,bigint,324247971,240815243264
dbo,MaterializedItems,OwnerCharacterID,bigint,324247971,240815243264
dbo,MaterializedItems,OwnershipStartDate,datetime2,324247971,240815243264
dbo,MaterializedItems,PayMethodCode,tinyint,324247971,240815243264
dbo,MaterializedItems,RandomSeed,int,324247971,240815243264
dbo,MaterializedItems,SealCount,tinyint,324247971,240815243264
dbo,MaterializedItems,SenderCharacterID,bigint,324247971,240815243264
dbo,MaterializedItems,SoulBoundFlag,bit,324247971,240815243264
dbo,MaterializedItems,TradeItemFlag,bit,324247971,240815243264
dbo,AchieveMissions,AchieveDate,datetime2,345819706,32246865920
dbo,AchieveMissions,CharacterID,bigint,345819706,32246865920
dbo,AchieveMissions,MissionID,int,345819706,32246865920
dbo,AchieveMissions,MissionTypeCode,tinyint,345819706,32246865920
dbo,CompleteQuests,CharacterID,bigint,230018633,26179543040
dbo,CompleteQuests,CompleteCount,int,230018633,26179543040
dbo,CompleteQuests,CompleteDate,datetime2,230018633,26179543040
dbo,CompleteQuests,QuestCode,tinyint,230018633,26179543040
dbo,CompleteQuests,QuestID,int,230018633,26179543040
dbo,AssignMissionDetails,AchieveFlag,bit,398359510,11364679680
dbo,AssignMissionDetails,CharacterID,bigint,398359510,11364679680
dbo,AssignMissionDetails,MissionCounter,int,398359510,11364679680
dbo,AssignMissionDetails,MissionID,int,398359510,11364679680
dbo,AssignMissionDetails,MissionIndex,tinyint,398359510,11364679680
dbo,AssignMissionDetails,MissionTypeCode,tinyint,398359510,11364679680
dbo,QuickSlots,CharacterID,bigint,146423097,6432243712
dbo,QuickSlots,ObjectTypeCode,tinyint,146423097,6432243712
dbo,QuickSlots,ObjectValue,bigint,146423097,6432243712
dbo,QuickSlots,QuickSlotIndex,tinyint,146423097,6432243712
dbo,MissionBinaries,CharacterID,bigint,3404848,5133721600
dbo,MissionBinaries,GainMissionBin,binary,3404848,5133721600
dbo,CharacterAbilities,AbilityPoint,int,94255507,4189396992
dbo,CharacterAbilities,CharacterAbilityCode,tinyint,94255507,4189396992
dbo,CharacterAbilities,CharacterID,bigint,94255507,4189396992
dbo,GuildDepotHistoryBak,CharacterID,int,52175801,3836977152
dbo,GuildDepotHistoryBak,CharacterName,nvarchar,52175801,3836977152
dbo,GuildDepotHistoryBak,GuildCoin,bigint,52175801,3836977152
dbo,GuildDepotHistoryBak,GuildCoinAfter,bigint,52175801,3836977152
dbo,GuildDepotHistoryBak,GuildDepotHistoryID,bigint,52175801,3836977152
dbo,GuildDepotHistoryBak,GuildID,int,52175801,3836977152
dbo,GuildDepotHistoryBak,InOutFlag,bit,52175801,3836977152
dbo,GuildDepotHistoryBak,ItemCoinFlag,bit,52175801,3836977152
dbo,GuildDepotHistoryBak,ItemCount,smallint,52175801,3836977152
dbo,GuildDepotHistoryBak,ItemID,int,52175801,3836977152
dbo,GuildDepotHistoryBak,ItemLevel,tinyint,52175801,3836977152
dbo,GuildDepotHistoryBak,RegisterDate,datetime2,52175801,3836977152
dbo,DragonJewels,DragonJewelID,int,7384739,2624438272
dbo,DragonJewels,DragonJewelLocationIndex,tinyint,7384739,2624438272
dbo,DragonJewels,ItemID,int,7384739,2624438272
dbo,DragonJewels,ItemOption,tinyint,7384739,2624438272
dbo,DragonJewels,ItemPotential,tinyint,7384739,2624438272
dbo,DragonJewels,ItemSerial,bigint,7384739,2624438272
dbo,DragonJewels,MaterializedItemID,bigint,7384739,2624438272
dbo,DragonJewels,ParentItemID,int,7384739,2624438272
dbo,DragonJewels,ParentItemMaterializedItemID,bigint,7384739,2624438272
dbo,DragonJewels,ParentItemSerial,bigint,7384739,2624438272
dbo,PeriodicReset,CharacterID,bigint,64295601,2312691712
dbo,PeriodicReset,LastModifyDate,smalldatetime,64295601,2312691712
dbo,PeriodicReset,PeriodicResetCode,tinyint,64295601,2312691712
dbo,PeriodicReset,PeriodicResetValue,bigint,64295601,2312691712
dbo,ItemLocationIndexes,ItemLocationIndex,tinyint,74158503,2236653568
dbo,ItemLocationIndexes,ItemSerial,bigint,74158503,2236653568
dbo,ItemLocationIndexes,OwnerCharacterID,bigint,74158503,2236653568
dbo,Skills,CharacterID,bigint,61805401,1975238656
