type,layers,gamename,startdate,enddate,parenthivedb,parentdbname,parenttablename,parentcolumnname,orihivedb,oridbname,oritablename,oricolumnname,hivedb,dbname,tablename,columnname,logstartdate,logenddate,dtbeforeday,dtafterday,logfilename,log,sql,memo,memo2
all,1,tdn,2020-01-16,,,,,,all,dnworld,abusemonitor,,extract,dnworld,abusemonitor,,,,,,,,,伺服器裡角色類別感應濫用的計數Table,
all,1,tdn,2020-01-16,,,,,,all,dnworld,abusemonitorrestraintconstants,,extract,dnworld,abusemonitorrestraintconstants,,,,,,,,,濫用判斷基準值定義(1M以下),
all,1,tdn,2020-01-16,,,,,,all,dnworld,abusereporthistory,,extract,dnworld,abusereporthistory,,,,,,,,,濫用申告履歷(無資料),
all,1,tdn,2020-01-16,,,,,,all,dnworld,alteiaguildrank,,extract,dnworld,alteiaguildrank,,,,,,,,,阿堤依亞大陸活動公會排行(1M以下),
all,1,tdn,2020-01-16,,,,,,all,dnworld,alteiaschedules,,extract,dnworld,alteiaschedules,,,,,,,,,阿堤依亞活動日程(1M以下),
all,1,tdn,2020-01-16,,,,,,all,dnworld,alteiasendtickets,,extract,dnworld,alteiasendtickets,,,,,,,,,阿堤依亞大陸活動寄件履歷(1M以下),
all,1,tdn,2020-01-16,,,,,,all,dnworld,appellationrewardcompleteforaccount,,extract,dnworld,appellationrewardcompleteforaccount,,,,,,,,,稱號個數獎勵(帳號單位)(1M以下),
all,1,tdn,2020-01-16,,,,,,all,dnworld,appellationrewardcompleteforcharacter,,extract,dnworld,appellationrewardcompleteforcharacter,,,,,,,,,稱號收集獎勵(角色單位)(1M以下),
all,1,tdn,2020-01-16,,,,,,all,dnworld,attachitemsformailschedule,,extract,dnworld,attachitemsformailschedule,,,,,,,,,預約信件附件道具,
all,1,tdn,2020-01-16,,,,,,all,dnworld,attachpetequipmentsformailschedule,,extract,dnworld,attachpetequipmentsformailschedule,,,,,,,,,行程表信件裡要附件的寵物道具資訊(無資料),
all,1,tdn,2020-01-16,,,,,,all,dnworld,auctionbidding,,extract,dnworld,auctionbidding,,,,,,,,,競標投標資訊(無資料),
all,1,tdn,2020-01-16,,,,,,all,dnworld,auctioncancelreason,,extract,dnworld,auctioncancelreason,,,,,,,,,競標取消事由(無資料),
