commondata_001	commondata_002	commondata_003	commondata_004	commondata_009	uniquefloat_001
00010609	3569261	15752227	草莓呀哈哈	202112	5.0
0017447928	7582792	11311735	龍尾巴u	202112	4.0
00914244	2948778	17432794	祈禱姬0091	202112	2.0
0101020304050	5502904	11830211	腿控是王道o	202112	1.0
0123051972	7346923	18542976	遺忘英雄魂風	202112	1.0
01332129	5636704	26017435	哭阿沒綽號	202112	1.0
02201209	6669487	12423114	烈空乂座	202112	2.0
0221159100	1353377	4837098	至尊銀雀	202112	4.0
0228916555	1802876	4989764	舞旋飛針	202112	3.0
0229715179	275849	18386523	濃厚玫瑰奶綠	202112	11.0
02690811	2263557	11466803	喔辣妹米斯達	202112	1.0
0286656331	141440	14680759	Love福兒	202112	1.0
0286931908	3305402	15833447	Q摩提Q	202112	1.0
0289650317	4178716	17015323	花o蕾	202112	1.0
0289650317	4178716	2171659	oo水漾雪琪oo	202112	2.0
02joshua1	7545676	10850961	機巧雪女	202112	1.0
02joshua1	7545676	7696287	雪白Snow	202112	1.0
032122849	4625692	8938702	摸索小柴	202112	2.0
033181030	1664607	10046557	小妹妹30	202112	5.0
033181030	1664607	17513473	重砲吾郎	202112	1.0
033181030	1664607	24717963	小甜甜30	202112	2.0
034525222	2625855	12169608	下一秒250	202112	4.0
034792627	2198443	12042946	爵啼	202112	26.0
034792627	2198443	14284878	琉棧	202112	2.0
034792627	2198443	15930483	殺棧	202112	15.0
034792627	2198443	16458340	泵棧	202112	1.0
034792627	2198443	17286831	鯨棧	202112	15.0
034792627	2198443	5867042	cococ小瑄	202112	2.0
03520352gt	6047713	10397025	萊昂克爾	202112	4.0
037665788	2218571	17140389	紫燁舞影	202112	1.0
039502739	2231993	8132730	月光z炸彈	202112	2.0
03963303	6213518	18499691	米kodo	202112	1.0
03963306	3859785	18367206	大死神CC	202112	1.0
0423281726	2069884	13655954	天衍劫火	202112	1.0
047695800	7576277	25319852	滴咖z	202112	3.0
05012233	6177919	26263585	棽草	202112	4.0
0507james	5331628	17143753	箭之波瀾	202112	1.0
052111659	6182984	26199035	夜使者的傳說	202112	1.0
052386890	412037	17914067	烽煙彌漫	202112	1.0
052386890	412037	18093378	烽煙戴爾	202112	3.0
052622852	8621440	26227580	Ss傲翼翔sS	202112	5.0
052622852	8621440	26270142	Ss傾城之戀sS	202112	4.0
052622852	8621440	26404949	S戀夢紅塵S	202112	3.0
0615peter	7062987	25534965	Tiramisu狐狸	202112	1.0
06Jacky39715	6295789	4360451	弒o嵐玥	202112	5.0
06steven02	3879228	25257201	瘦牛射慢一點	202112	1.0
070932782952	3538490	12885087	xo隨楓ox	202112	1.0
073235045	3247712	18795240	黑夜情瞳	202112	1.0
073235045	3247712	19327406	永恆卍戀情	202112	4.0
073235045	3247712	26032798	復仇者殺手x	202112	4.0
075814621	2481318	10449379	077aa	202112	1.0
075814621	2481318	23520335	364g4	202112	2.0
077918860	1534191	18279992	電子憑證	202112	8.0
0805449ja	5619346	24877627	胖熊J寶	202112	1.0
0808000000	1750608	10204796	不吃就穿	202112	2.0
0809654654	941062	8112023	oo維尼星oo	202112	7.0
082326353ok	2838903	7918502	專職電線杆	202112	1.0
082331140	5949322	7674505	水悅靜	202112	6.0
08554312	900332	5980173	Fizz瞬	202112	2.0
08740874462462	6353688	24828671	MB開拓者	202112	2.0
087626897	215550	14767349	乞丐邱	202112	1.0
087626897	215550	16710360	小邱的阿戴爾	202112	1.0
0909000000	1658792	18487120	黛安登貝伊	202112	2.0
0910063210	2892330	2149665	耍率帥盜賊	202112	3.0
0910375329	5851129	10631670	寺風院咫月	202112	1.0
0910420866	1295155	24527350	阿橘捲o	202112	8.0
0910578528	2695409	18102970	四季夏目君	202112	1.0
0911572731	687085	16339046	夜紫玲	202112	4.0
0911807069	4519868	18531840	卡迪納爻鍊雨	202112	2.0
0912413178	3676905	11610850	空乂陰陽師	202112	1.0
0912417888	1572304	1090605	明德樓主	202112	2.0
0912417888888	8682412	6565454	雞腿便當一個	202112	1.0
09124178888888	8682434	6456258	麻辣狂豹獵人	202112	1.0
0912459392	7712253	15567313	傑o確診獅王	202112	2.0
0912459392	7712253	15924358	傑o確診破口	202112	1.0
0912533375	1737332	2878206	野瀨園之綠	202112	2.0
0912637293	3928348	9941986	魔a霸	202112	2.0
0912653951	3414510	3933763	必殺VS劍豪	202112	1.0
0912656207	3995468	9834105	怒吼雷神	202112	1.0
0912656207	3995468	9942019	青A瓜瓜	202112	1.0
0912665347	7010216	13598383	俠盜o鴻	202112	1.0
0917088749	7282327	5495405	小Loser	202112	1.0
09183500	2109771	8820265	天之極意	202112	2.0
0919115261	2565334	18475659	燒掉記事本	202112	2.0
0919115261	2565334	8309391	虎頭山沒老虎	202112	1.0
0919115261	2565334	8476399	有親嘴沒喇雞	202112	9.0
0919206648	3534005	8757327	弒神者佩特	202112	1.0
0921227866	4562229	5719405	100年3月19日	202112	3.0
0921436467	1170021	4188201	炫風乂不亂	202112	3.0
09215202711	6776676	16998067	夸歌離席	202112	2.0
0922565591	5094906	10240009	EcjQ	202112	2.0
0922802402	7439811	16954194	x天使天天使x	202112	4.0
0923091544	277872	6521612	潮留美織	202112	1.0
0923296017	3359128	17096611	天破第一號	202112	2.0
09232960171	3574153	17099336	天兵阿呆爾	202112	1.0
0925562203	5659084	6219990	萬花筒c	202112	7.0
